Requirement Number,Status,Operating Entity,Group,Unit/ Directorate,Owner Ranking,Title,Justification,Impact if not Funded,"Priority Level (0, 1, 2, A, E)",PEC,BA,SAG,Panel,EEIC,Object Class,ESP,Cost Center,AAI , Requirement Total , Wing Funded Total  , Unfunded Total based on Wing Funded ,PEM Remarks,HQ FMA Remarks, EP Funded Amount , Unfunded Amount Based on EP Funding , Need By Date ,Method of Purchase,Is Recurring,Final FY,Is Civ Pay,Contract Number ,PoP Start Date,PoP End Date,Created By Org,AFGSC/FMAO Reveiwed By
,,F6790,Maintenance Group,2 AMXS,,PPE,"Personnel Protective Equipment purchases include safety toe boots, coveralls, work gloves, hearing protection, reflective belts, safety glasses, and camelbacks for 735 personnel. Personnel are mandated to wear proper PPE items when performing primary duties (AFI 21-101, OSHA 1910.95, OSHA 1910.136, and Occupational Safety and Health Act of 1970).  Safety toe boots, work gloves and coveralls carry the highest wear-out rate and tend to get issued multiple times to an individual.  Cold/wet weather gear is required for BAFB flight line operations and B-52 missions worldwide.  Cold/wet weather gear such as fleece and APECS items are issued to personnel.  The mandatory wear date for the OCP uniform is April 2021, requiring an additional 100% issue of OCP wet weather gear.","Personnel will be affected by weather leading to sickness.  Additionally exposure to loud noise and industrial area hazards can lead to physical injuries or death.  On average, Barksdale receives rain 127/365 days a year and temperatures during the months Dec through Mar range 38 - 59 degrees Fahrenheit.  Without rain gear/cold weather gear, Barksdale would be unable to launch or work on aircraft during inclement weather and 2d Bomb Wing would be unable to maintain its fully mission capable levels for the B-52.",2,11113F,,011A,E,61956,2603327,,34FIG0,387700,"185,000.00",,"185,000.00",,,,"185,000.00",,GPC,Yes,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Operations Group,OCO,,Deployment Gear,Deploy Gear for entire 2 BW with the exception of 2 MSG,Not fund the OCO gear would halt all Deployments to Centcom area and put Strain on allied forces,A,018534F,,011D,K,61950,2603312,,3303G0,387700,"300,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Operations Group,Fly,,Flying Hour PPE,"Purchase of consumables made either by GPC/Form 9 that are directly related to aircraft maintenance.  This covers items such as Personal Protective Equipment for flying related duties such helmets, masks, headsets, anti exposure suits, and flyer gloves as required by AFI 11-301 Vol 1 Para 2.17 for flying crew to fly, failure to fund will result in severe loss of aircrew training and degradation of ability to perform assigned tasking, gear to protect individuals from harsh winter conditions.","We will not be equipped to perform daily maintenance or modernize our equipment/procedures.  We will lose the ability to repair support equipment, directly affecting the flying hour program and the mission of AFGSC.",A,11113F,,011D,K,61952,2603313,,33FI42,387700,"400,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Operations Group,Fly,,Freshette,Purchase of Freshette made either by GPC are related for female flight crew.  Failure to fund will result in severe loss of female aircrew training and degradation of ability to perform assigned tasking.,Due to design of our aircraft freshettes are required for all female flyers.  Due to bio hazard issues they ave to be issued individuals.  ,A,11113F,,011D,K,61952,2603313,,33FI42,387700,"10,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Operations Group,Fly,,Seat Chusions,Purchase of Gel Seat chushions for entire fleet last purchased 2001.  ,We will not be equipped with servicable seat cushions to perform daily lights and we are hurting our flyers by giving them substandard equipment for long mission incurring more back/spine issues.,A,11113F,,011D,K,61952,2603313,,33FI42,387700,"257,400.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Operations Group,Fly,,AFE Tools/Equipment,"Purchase of tools made either by GPC/Form 9 that are directly related to aircraft maintenance.  This covers items such as tools and support equipment for continued B-52 repair, due to mission related duties.  Failure to fund will result in severe loss of aircrew training and degradation of ability to perform assigned tasking.","We will not be equipped to perform daily maintenance or modernize our equipment/procedures.  We will lose the ability to repair aircraft, directly affecting the flying hour program and the mission of AFGSC.",A,11113F,,011D,K,61952,2603313,,33FI42,387700,"60,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Operations Group,Fly,,Bose Headsets,Purchase of Bose Headsets  made either by GPC/Form 9 that are directly related to aircraft missions.  This covers all flyers attatched to 2 BW for flying duties.  The BOSE noise canx headsets make flying in this aircraft safer due to the ability to hear radio calls and better communication.,Not funding would subject all flyers to a higher noise and confusion level in aircraft.  Headsets are half the weight of current headsets and have better noise quality.,A,11113F,,011D,K,61952,2603313,,33FI42,387700,"175,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Operations Group,FTU,,PPE,"FTU Gov't Purchase Card purchases for required, initial issue Personnel Protective Equipment,   Purchase of flyers safety gear for day-to-day operations. Flight suits, Cold weather layering system, flight approved boots, ewo locks, whiz wheel, time speed dividers, plotters, stop watch and other misc gear for assigned active flyers.  Combat capability would suffer due to individuals not having serviceable items necessary for flight. Cost for Student Flyer is $3210, Permanent flyer $1,956, Enlisted initial $650 and Enlisted recurring $250 cost.  Items include all items associated with day to day flying operations. Not Covered under Flying Hour Cost. 140 student flyers, 65 Permanent Flyers and 12 enlisted assigned .","If not funded, it would be forced to reduce the necessary PPE for flyers, potentially forcing them into unsafe conditions while flying or during an emergency.  Combat capability would suffer due to individuals not having serviceable items necessary for flight.
",1,27597F,,011D,K,61950,2603312,,33FI04,387700,"581,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Operations Group,FTU,,CONSUMABLES/SUSTAINMENT,"FTU Consisit of 220 Individuals, Gov't Purchase Card purchases for required consumable items/equipment, calibration/repair/replacement of non-fly equipment, weight testing, Mule/repair maintenance and mission critical/sensitive support items not categorized as flying hour authorized/approved. Requirement include cleaning  supplies for facilities not covered on the base cleaning contract due to the fact they are located in a secure area and cannot be added to the contract.","If not funded, it would be forced to reduce the necessary. Lack of funding would result in failure of facility , and support equipment and mission capabilties. Employees will be unable to perform their assigned duties causing mission failure do to not having proper/ Quainty of items.",2,27597F,,011D,K,61950,2603312,,33FI04,387700,"45,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Operations Group,ATCALS,,Equipment,"All equipment is required for daily aircraft interaction / exercises.  As equipment gets older and doesn’t get replaced it hinders the mission. Base Station Radio (AMOPS), three Extension panels for VOIP phone  hotlines, Lightgun, two PIR (ILS Test Equipment), two Range Finders, two Sunnto Tandem DG Clinometer,  Vehicle mounted Radio, Vehicle mounted UHF radio,  two Vehicle Tablet Mount Kit.",There is no work around for proper operating equipment.  As equipment gets degraded work production goes down and it affects all sorties. By not having up to date equipment the mission suffers due to time lags.,1,35114F,,012A,J,61950,2603312,,3311M0,387700,"159,100.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Operations Group,ATCALS,,PPE,"ATCALS, Gov't Purchase Card purchases for required, initial issue Personnel Protective Equipment,   Purchase of safety gear for day-to-day operations. Cold weather, approved safety boots, climbing gear and other misc gear for assigned for ATCALS duties. Combat capability would suffer due to individuals not having serviceable items necessary for upkeep of airfield flight. Cost for Permanent Officer to receive necessary serviceable items is $250.  Enlisted cost to receive items are $650 per inital enlisted and $250 recuring Items include all items associated with day to day flying operations. Not Covered under Flying Hour Cost.   2 Officers and 45 enlisted assigned","If not funded, it would be forced to reduce the necessary PPE for individuals, potentially forcing them into unsafe conditions while Performing airfield Maintenance.  Combat capability would suffer due to individuals not having serviceable items necessary for duties.
",1,35114F,,012A,J,61950,2603312,,3311M0,387700,"29,800.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Operations Group,ATCALS,,Furniture,"ATCALS furniture was purchased at random dates, and due to the chips in the furniture coupled with broken drawers and worn spots in the finish of the desks, requires replacement because it does not represent a positive image of the ATCALS individuals assigned to this office.  Furniture to be replaced as required for unserviceable pieces.","Without funding, visitors to AtCALS may lose confidence in the professionalism of the Squadron, and 2 OG overall",E,35114F,,012A,J,61950,2603312,,3311M0,387700,"10,500.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Operations Group,Weather,,Weather Must Pay Computer Subscriptions,"Weather provides forecasting abilities to entire base, weater tap and faa tracker is required for daily interaction  with all mission and daily weahter information.","If not funded, we would would not be able toreceive uptodate weather info and where aircraft is located to assit in all flying aspects",0,35111F,,012A,I,61950,2603312,,331000,387700,688.00,,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Operations Group,Weather,,Equipment," All equipment is required for daily aircraft interaction / exercises.  Military Grade Laser Range Finder, Kestrels - Portable Weather Sensor, three Manual Observing Kits.",There is no work around for proper operating equipment.  As equipment gets degraded work production goes down and it affects all sorties. By not having up to date equipment the mission suffers due to time lags.,1,35111F,,012A,I,61950,2603312,,331000,387700,"29,900.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Operations Group,Weather,,PPE,"Weather, Gov't Purchase Card purchases for required, initial issue Personnel Protective Equipment,   Purchase of safety gear for day-to-day operations. Cold weather, approved safety boots and other misc gear for assigned for Weather duties. Combat capability would suffer due to individuals not having serviceable items necessary for upkeep of airfield flight. Cost for Permanent Officer to receive necessary serviceable items is $250.  Enlisted cost to receive items are $650 per inital enlisted and $250 recuring Items include all items associated with day to day flying operations. Not Covered under Flying Hour Cost.   1 Officer and 31 enlisted assigned","If not funded, it would be forced to reduce the necessary PPE for individuals, potentially forcing them into unsafe conditions while Performing their duties.  Combat capability would suffer due to individuals not having serviceable items necessary for duties.
",2,35111F,,012A,I,61950,2603312,,331000,387700,"10,400.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Operations Group,Weather,,Computer/Office Peripherals,Weather Gov't Purchase Card purchases for IT/ Office Peripherals are required for life cycle swap and updating of broken items.,"If not funded, it would be forced to utilze substandard equipment and degrade work effectivness to to unsatifactory standards.",2,35111F,,012A,I,61950,2603312,,331000,387700,"7,300.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Operations Group,Weather,,Furniture,"Weather furniture was purchased at random dates, and due to the chips in the furniture coupled with broken drawers and worn spots in the finish of the desks, requires replacement because it does not represent a positive image of the Weather individuals assigned to this office.  Furniture to be replaced as required for unserviceable pieces.","Without funding, visitors to WEATHER may lose confidence in the professionalism of the Squadron, and 2 OG overall",E,35111F,,012A,I,61950,2603312,,331000,387700,"3,200.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Operations Group,96th,,PPE,"96th BS, Gov't Purchase Card purchases for required, initial issue Personnel Protective Equipment,   Purchase of flyers safety gear for day-to-day operations. Flight suits, Cold weather layering system, flight approved boots, ewo locks, whiz wheel, time speed dividers, plotters, stop watch and other misc gear for assigned active flyers. Combat capability would suffer due to individuals not having serviceable items necessary for flight. Cost for Permanent flyer to receive necessary serviceable items is $1,956.  Enlisted cost to receive items are $650 per inital enlisted and $250 recuring Items include all items associated with day to day flying operations. Not Covered under Flying Hour Cost.  100 Flyers and 27 enlisted assigned","If not funded, it would be forced to reduce the necessary PPE for flyers, potentially forcing them into unsafe conditions while flying or during an emergency.  Combat capability would suffer due to individuals not having serviceable items necessary for flight.
",1,11113F,,011A,E,61950,2603312,,,387700,"75,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Operations Group,20th,,PPE,"20th BS, Gov't Purchase Card purchases for required, initial issue Personnel Protective Equipment,   Purchase of flyers safety gear for day-to-day operations. Flight suits, Cold weather layering system, flight approved boots, ewo locks, whiz wheel, time speed dividers, plotters, stop watch and other misc gear for assigned active flyers. Combat capability would suffer due to individuals not having serviceable items necessary for flight. Cost for Permanent flyer to receive necessary serviceable items is $1,956.  Enlisted cost to receive items are $650 per inital enlisted and $250 recuring Items include all items associated with day to day flying operations. Not Covered under Flying Hour Cost.  100 Flyers and 27 enlisted assigned","If not funded, it would be forced to reduce the necessary PPE for flyers, potentially forcing them into unsafe conditions while flying or during an emergency.  Combat capability would suffer due to individuals not having serviceable items necessary for flight.
",1,11113F,,011A,E,61950,2603312,,,387700,"75,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Operations Group,96th,,PPE,"96th BS, Gov't Purchase Card purchases for required, initial issue Personnel Protective Equipment,   Purchase of flyers safety gear for day-to-day operations. Flight suits, Cold weather layering system, flight approved boots, ewo locks, whiz wheel, time speed dividers, plotters, stop watch and other misc gear for assigned active flyers. Combat capability would suffer due to individuals not having serviceable items necessary for flight. Cost for Permanent flyer to receive necessary serviceable items is $1,956.  Enlisted cost to receive items are $650 per inital enlisted and $250 recuring Items include all items associated with day to day flying operations. Not Covered under Flying Hour Cost.  100 Flyers and 27 enlisted assigned","If not funded, it would be forced to reduce the necessary PPE for flyers, potentially forcing them into unsafe conditions while flying or during an emergency.  Combat capability would suffer due to individuals not having serviceable items necessary for flight.
",2,11113F,,011A,E,61950,2603312,,,387700,"127,600.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Operations Group,2 OSS,,PPE,"2 OSS, Gov't Purchase Card purchases for required, initial issue Personnel Protective Equipment,   Purchase of flyers safety gear for day-to-day operations. Flight suits, Cold weather layering system, flight approved boots, ewo locks, whiz wheel, time speed dividers, plotters, stop watch and other misc gear for assigned active flyers. Combat capability would suffer due to individuals not having serviceable items necessary for flight. Cost for Permanent flyer to receive necessary serviceable items is $1,956.  Enlisted cost to receive items are $650 per inital enlisted and $250 recuring Items include all items associated with day to day flying operations. Not Covered under Flying Hour Cost.  45 Flyers and 125 enlisted assigned","If not funded, it would be forced to reduce the necessary PPE for flyers, potentially forcing them into unsafe conditions while flying or during an emergency.  Combat capability would suffer due to individuals not having serviceable items necessary for flight.
",1,11113F,,011A,E,61950,2603312,,,387700,"88,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Operations Group,20th,,PPE,"20th BS, Gov't Purchase Card purchases for required, initial issue Personnel Protective Equipment,   Purchase of flyers safety gear for day-to-day operations. Flight suits, Cold weather layering system, flight approved boots, ewo locks, whiz wheel, time speed dividers, plotters, stop watch and other misc gear for assigned active flyers. Combat capability would suffer due to individuals not having serviceable items necessary for flight. Cost for Permanent flyer to receive necessary serviceable items is $1,956.  Enlisted cost to receive items are $650 per inital enlisted and $250 recuring Items include all items associated with day to day flying operations. Not Covered under Flying Hour Cost.  100 Flyers and 27 enlisted assigned","If not funded, it would be forced to reduce the necessary PPE for flyers, potentially forcing them into unsafe conditions while flying or during an emergency.  Combat capability would suffer due to individuals not having serviceable items necessary for flight.
",2,11113F,,011A,E,61950,2603312,,,387700,"127,600.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Operations Group,2 OG,,PPE,"2d Operation Group, Gov't Purchase Card purchases for required, initial issue Personnel Protective Equipment,   Purchase of flyers safety gear for day-to-day operations. Flight suits, Cold weather layering system, flight approved boots, ewo locks, whiz wheel, time speed dividers, plotters, stop watch and other misc gear for assigned active flyers.  Combat capability would suffer due to individuals not having serviceable items necessary for flight. Cost for Permanent flyer to receive necessary serviceable items is $1,956.  Items include all items associated with day to day flying operations. Not Covered under Flying Hour Cost. 9 Flyers and 1 enlisted assigned","If not funded, it would be forced to reduce the necessary PPE for flyers, potentially forcing them into unsafe conditions while flying or during an emergency.  Combat capability would suffer due to individuals not having serviceable items necessary for flight.
",1,11113F,,011A,E,61950,2603312,,331000,387700,"6,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Operations Group,2 OSS,,PPE,"2 OSS, Gov't Purchase Card purchases for required, initial issue Personnel Protective Equipment,   Purchase of flyers safety gear for day-to-day operations. Flight suits, Cold weather layering system, flight approved boots, ewo locks, whiz wheel, time speed dividers, plotters, stop watch and other misc gear for assigned active flyers. Combat capability would suffer due to individuals not having serviceable items necessary for flight. Cost for Permanent flyer to receive necessary serviceable items is $1,956.  Enlisted cost to receive items are $650 per inital enlisted and $250 recuring Items include all items associated with day to day flying operations. Not Covered under Flying Hour Cost.  45 Flyers and 125 enlisted assigned","If not funded, it would be forced to reduce the necessary PPE for flyers, potentially forcing them into unsafe conditions while flying or during an emergency.  Combat capability would suffer due to individuals not having serviceable items necessary for flight.
",2,11113F,,011A,E,61950,2603312,,,387700,"100,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Operations Group,2 OG,,Computer/Office Peripherals,2d OG Gov't Purchase Card purchases for IT/ Office Peripherals are required for life cycle swap and updating of broken items.,"If not funded, it would be forced to utilze substandard equipment and degrade work effectivness to to unsatifactory standards.",2,11113F,,011A,E,61950,2603312,,331000,387700,"15,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Operations Group,2 OSS,,CONSUMABLES/SUSTAINMENT,"2 OSS Consist of 170 Individuals, and multiple Buildings,  Gov't Purchase Card purchases for required consumable items/equipment, calibration/repair/replacement of non-fly equipment, weight testing, Mule/repair maintenance and mission critical/sensitive support items not categorized as flying hour authorized/approved. Requirement include cleaning  supplies for facilities not covered on the base cleaning contract due to the fact they are located in a secure area and cannot be added to the contract.","If not funded, it would be forced to reduce the necessary. Lack of funding would result in failure of facility , and support equipment and mission capabilties. Employees will be unable to perform their assigned duties causing mission failure do to not having proper/ Quainty of items.",1,11113F,,011A,E,61950,2603312,,,387700,"63,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Operations Group,2 OSS,,Computer/Office Peripherals,2 OSS Gov't Purchase Card purchases for IT/ Office Peripherals are required for life cycle swap and updating of broken items.,"If not funded, it would be forced to utilze substandard equipment and degrade work effectivness to to unsatifactory standards.",2,11113F,,011A,E,61950,2603312,,,387700,"103,200.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Operations Group,20th,,CONSUMABLES/SUSTAINMENT,"20th BS Consist of 127 Individuals, Gov't Purchase Card purchases for required consumable items/equipment, calibration/repair/replacement of non-fly equipment, weight testing, Mule/repair maintenance and mission critical/sensitive support items not categorized as flying hour authorized/approved. Requirement include cleaning  supplies for facilities not covered on the base cleaning contract due to the fact they are located in a secure area and cannot be added to the contract.","If not funded, it would be forced to reduce the necessary. Lack of funding would result in failure of facility , and support equipment and mission capabilties. Employees will be unable to perform their assigned duties causing mission failure do to not having proper/ Quainty of items.",1,11113F,,011A,E,61950,2603312,,,387700,"39,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Operations Group,2 OSS,,Equipment,"All equipment is required for daily aircraft interaction / exercises.  As equipment gets older and doesn’t get replaced it hinders the mission. Two Time zone clocks for CBR/ Step Desk, three SIPR VTC Suites, k-16 shredder, SERE Personal Recovery Kits, Military Clock, twelve Quad tower alert lights, Cisco Telepresence System (Desktop SIPR VTC), Training Support Equipment, Combative Equipment, and all items required for training our flyers.  This provides for all combative upgrades and sustainability. All flyers are required to be trained in Combative and Escape.  2 individuals assigned but due to such a unique job there ppe cost an Est of 2800 initial and 500 per year recurring. This provides for all combative and jump upgrades and sustainability.","There is no work around for proper operating equipment.  As equipment gets degraded work production goes down and it affects all sorties. By not having up to date equipment the mission suffers due to time lags. By not receiving our short fall budget and continually not utilizing this program, it would reduce every flyer’s access to high quality training. Last FY, SERE Specialists started and taught this program. By not receiving our short fall budget and continually not utilizing this program, it would reduce every flyer’s access to high quality training.  If not funded the SERE specialist will be held to bare minimum standards and not be able to keep current in all aspects of their job.",2,11113F,,011A,E,61950,2603312,,,387700,"125,700.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Operations Group,2 OSS,,IOC Entry Control System ,Replace current non-supported (MONACO) acces control with updated access control that is supported by manufacturer.,"The IOC is converting to Vindicator for alarm coverage, but it does not support the secondary access control to the entire building and secure doors. Reverting back to an individual key entry access will increase security incidents and funding requirements to change door locks after keys are lost. The IOC is essential to all flying operations, with all OG personel and aircrew entering and exiting this buiilding on a daily basis.  Reverting back to an individual key entry access will increase security incidents and funding requirements to change door locks after keys are lost.",E,11113F,,011A,E,61950,2603312,,,387700,"42,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Operations Group,2 OSS,,Mobility Items,"Due to the current nature of our deployments, OSS personnel can be tasked to deploy within a 24 hrs +/- notice.  These bags must be packed prior to tasking’s with everything required for multiple locations, to include bare bases.  Members will be able to have bags prepared and ready to top-off with their day-to-day flying gear, ensuring a smooth mobilization process. Having required items on-hand prior to IRF tasking’s ensures members are prepared and able to execute with less stress and last minute gathering of items.  Parachute Mobile Drying Rack , Home station ISU Storage system, 1780-Pelican Cases 12, ","Not having required items on-hand prior to IRF taskings makes members carry everything with a-3 bags more trips added stress and not having all required deploy items on hand and last minute gathering of items. Not having Mobile drying racks, creates a longer setup at deployed location to do the site survey to find a suitable location to hang drags to dry.",2,11113F,,011A,E,61950,2603312,,,387700,"158,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Operations Group,20th,,Computer/Office Peripherals,20th BS Gov't Purchase Card purchases for IT/ Office Peripherals are required for life cycle swap and updating of broken items.,"If not funded, it would be forced to utilze substandard equipment and degrade work effectivness to to unsatifactory standards.",2,11113F,,011A,E,61950,2603312,,,387700,"21,600.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Operations Group,96th,,CONSUMABLES/SUSTAINMENT,"96th BS Consist of 127 Individuals, Gov't Purchase Card purchases for required consumable items/equipment, calibration/repair/replacement of non-fly equipment, weight testing, Mule/repair maintenance and mission critical/sensitive support items not categorized as flying hour authorized/approved. Requirement include cleaning  supplies for facilities not covered on the base cleaning contract due to the fact they are located in a secure area and cannot be added to the contract.","If not funded, it would be forced to reduce the necessary. Lack of funding would result in failure of facility , and support equipment.  Lack of funding will also cause facilities to be unsanitary creating a breeding ground for disease, and eventually illness to employees who will be unable to perform their assigned duties causing mission failure.",1,11113F,,011A,E,61950,2603312,,,387700,"45,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Operations Group,20th,,Mobility Items,"Due to the current nature of our deployments, 20th BS personnel can be tasked to deploy within a 24 hrs +/- notice.  These bags must be packed prior to tasking’s with everything required for multiple locations, to include bare bases.  Members will be able to have bags prepared and ready to top-off with their day-to-day flying gear, ensuring a smooth mobilization process. Having required items on-hand prior to IRF tasking’s ensures members are prepared and able to execute with less stress and last minute gathering of items.",Not having required items on-hand prior to IRF taskings makes members carry everything with a-3 bags more trips added stress and not having all required deploy items on hand and last minute gathering of items.,2,11113F,,011A,E,61950,2603312,,,387700,"79,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Operations Group,96th,,Computer/Office Peripherals,96th BS Gov't Purchase Card purchases for IT/ Office Peripherals are required for life cycle swap and updating of broken items.,"If not funded, it would be forced to utilze substandard equipment and degrade work effectivness to to unsatifactory standards.",2,11113F,,011A,E,61950,2603312,,,387700,"21,600.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Operations Group,2 OSS,,Equipment,"All equipment is required for daily aircraft interaction / exercises.  As equipment gets older and doesn’t get replaced it hinders the mission. Two Time zone clocks for CBR/ Step Desk, three SIPR VTC Suites, k-16 shredder, SERE Personal Recovery Kits, Military Clock, twelve Quad tower alert lights, Cisco Telepresence System (Desktop SIPR VTC), Training Support Equipment, Combative Equipment, and all items required for training our flyers.  This provides for all combative upgrades and sustainability. All flyers are required to be trained in Combative and Escape.  2 individuals assigned but due to such a unique job there ppe cost an Est of 2800 initial and 500 per year recurring. This provides for all combative and jump upgrades and sustainability.","There is no work around for proper operating equipment.  As equipment gets degraded work production goes down and it affects all sorties. By not having up to date equipment the mission suffers due to time lags. By not receiving our short fall budget and continually not utilizing this program, it would reduce every flyer’s access to high quality training. Last FY, SERE Specialists started and taught this program. By not receiving our short fall budget and continually not utilizing this program, it would reduce every flyer’s access to high quality training.  If not funded the SERE specialist will be held to bare minimum standards and not be able to keep current in all aspects of their job.",1,11113F,,011A,E,61950,2603312,,,387700,"50,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Operations Group,96th,,Mobility Items,"Due to the current nature of our deployments, 96th BS personnel can be tasked to deploy within a 24 hrs +/- notice.  These bags must be packed prior to tasking’s with everything required for multiple locations, to include bare bases.  Members will be able to have bags prepared and ready to top-off with their day-to-day flying gear, ensuring a smooth mobilization process. Having required items on-hand prior to IRF tasking’s ensures members are prepared and able to execute with less stress and last minute gathering of items.",Not having required items on-hand prior to IRF taskings makes members carry everything with a-3 bags more trips added stress and not having all required deploy items on hand and last minute gathering of items.,2,11113F,,011A,E,61950,2603312,,,387700,"79,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Operations Group,2 OG,,PPE,"2d Operation Group, Gov't Purchase Card purchases for required, initial issue Personnel Protective Equipment,   Purchase of flyers safety gear for day-to-day operations. Flight suits, Cold weather layering system, flight approved boots, ewo locks, whiz wheel, time speed dividers, plotters, stop watch and other misc gear for assigned active flyers.  Combat capability would suffer due to individuals not having serviceable items necessary for flight. Cost for Permanent flyer to receive necessary serviceable items is $1,956.  Items include all items associated with day to day flying operations. Not Covered under Flying Hour Cost. 9 Flyers and 1 enlisted assigned","If not funded, it would be forced to reduce the necessary PPE for flyers, potentially forcing them into unsafe conditions while flying or during an emergency.  Combat capability would suffer due to individuals not having serviceable items necessary for flight.
",,11113F,,011A,E,61950,2603312,,331000,387700,"11,800.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Operations Group,JWICS,,PPE,"JWICS, Gov't Purchase Card purchases for required, initial issue Personnel Protective Equipment,   Purchase of safety gear for day-to-day operations. Cold weather, approved safety boots and other misc gear for assigned for JWICS duties. Combat capability would suffer due to individuals not having serviceable items necessary for upkeep of airfield flight. Cost for Permanent Officer to receive necessary serviceable items is $250.  Enlisted cost to receive items are $650 per inital enlisted and $250 recuring Items include all items associated with day to day flying operations. Not Covered under Flying Hour Cost.   6 Officers and 25 enlisted assigned","If not funded, it would be forced to reduce the necessary PPE for individuals, potentially forcing them into unsafe conditions while Performing their duties.  Combat capability would suffer due to individuals not having serviceable items necessary for duties.
",2,27431F,,012C,I,61950,2603312,,331100,387700,"11,800.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Operations Group,JWICS,,Computer/Office Peripherals,JWICS Gov't Purchase Card purchases for IT/ Office Peripherals are required for life cycle swap and updating of broken items.,"If not funded, it would be forced to utilze substandard equipment and degrade work effectivness to to unsatifactory standards.",2,27431F,,012C,I,61950,2603312,,331100,387700,"21,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Operations Group,FTU,,Computer/Office Peripherals,FTU Gov't Purchase Card purchases for IT/ Office Peripherals are required for life cycle swap and updating of broken items.,"If not funded, it would be forced to utilze substandard equipment and degrade work effectivness to to unsatifactory standards.",2,27597F,,011D,K,61900,2603301,,33FI04,387700,"50,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Operations Group,2 OG,,EFB Commercial Internet,2 OG provides commercial internet for service for 2 OG Staff and subordinate squadrons.  Internet is required to update all EFB to keep safety of flight data updated. EFB's are required to fly aircraft due to all flying regulations Pubs are electronic and loaded onto IPADSwhich every rated flyer has issued to them. ,"If not funded flights could be canceled or delayed due to out of date EFB, possibly affecting crew and aircraft safety with the acft taking off with out of date publicationsupdating of EFB.  ",0,11113F,,011A,E,61950,2603312,,331000,387700,"14,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
